wallet,in_our_list,events,total_usd
0x3dae67b9b6508a9c66c5e9032937c02dca454346,True,1,500.0
0x4577318d12011cfbe3901d97983eb56e575a8e71,True,1,500.0
0x4b5dfbc0bb2099b7ed12b67bfa29eb215cdf1598,False,1,500.0
0x6f466677feb58ccf007afea895f82bb5fb65c81e,True,1,500.0
0x74f57ce30dcc01da834267a773a9cb96c53f490d,True,1,500.0
0x777eaadddd05526aa0aca9b2b00a63583949bab0,True,1,500.0
0x7eb160cb953355801a2f41aad4ed3db9b619a009,True,1,500.0
0x8177598e08ee8199c160a48c7a0af31ab54bb59f,False,1,500.0
0x87b12f92e6928ff1ea44a3bd8fbc16c3a1e7c521,True,1,500.0
0x8adecc9697ea07304a53f92a109bbf997d2bb279,True,1,500.0
0x94291de6ef58e78c869320a5dbbfd6a5653f7633,True,1,500.0
0x96fdc571feeb61bff0b3f23e419d0e5c29acc19c,True,1,500.0
0x9f8951306b85bd2835260d22abe05934758847d8,True,1,500.0
0xa806336e24cdc9ef637d27f81ca98932e7fc1c62,True,1,500.0
0xa951f7da2413775f3f2893cc1e8afd429dc76217,True,1,500.0
0xff51ca12cf28b790985107cf77e509adbe56c1e4,True,1,500.0
