wallet,lock_months,events,total_usd,group
0xa806336e24cdc9ef637d27f81ca98932e7fc1c62,12,1,500.0,BIZDE_VAR
0xebd959701251e485fbd9253bda9548364988851c,9,1,500.0,BIZDE_VAR
0xedd402473973c97012f2c3d83dc110583f988bfe,10,1,500.0,BIZDE_VAR
0xf0a593c0d181a3bd536f2649ba7da21e06ad0ae8,1,1,500.0,BIZDE_VAR
0xf1a5ab5983d325246159a4628b9fde4a2181de0c,2,1,500.0,BIZDE_VAR
0xfd99dc52c31ea4ec26d92172c41a475da4312fa9,9,1,500.0,BIZDE_VAR
0xa951f7da2413775f3f2893cc1e8afd429dc76217,10,1,500.0,BIZDE_VAR
0x8adecc9697ea07304a53f92a109bbf997d2bb279,1,1,500.0,BIZDE_VAR
0x9f8951306b85bd2835260d22abe05934758847d8,3,1,500.0,BIZDE_VAR
0x246298f3c35a24c79b78edb392ec5515eabc5274,9,1,500.0,BIZDE_VAR
0x01b8a95d6493cceb5c21759d2cd831a270efbbc2,3,1,500.0,BIZDE_VAR
0x08465f7f35bbbee9db269c243926364e0164f114,12,1,500.0,BIZDE_VAR
0x0c3bd34778a3113f8200e25116d56e8644b9327c,9,1,500.0,BIZDE_VAR
0x1e43dc61859029ebe3d0b579cee824b91e9172a4,12,1,500.0,BIZDE_VAR
0x2078610fa0f7d69276fded44d8bfd2ead95edee3,1,1,500.0,BIZDE_VAR
0x21851cc89ec578a76a47de216b20b1dcab907350,1,1,500.0,BIZDE_VAR
0x241a7a9fd30ec7011e8c2ac4973f3d25064dd2c9,9,1,500.0,BIZDE_VAR
0x3dae67b9b6508a9c66c5e9032937c02dca454346,4,1,500.0,BIZDE_VAR
0x96fdc571feeb61bff0b3f23e419d0e5c29acc19c,7,1,500.0,BIZDE_VAR
0x4577318d12011cfbe3901d97983eb56e575a8e71,1,1,500.0,BIZDE_VAR
0x6f466677feb58ccf007afea895f82bb5fb65c81e,1,1,500.0,BIZDE_VAR
0x74f57ce30dcc01da834267a773a9cb96c53f490d,11,1,500.0,BIZDE_VAR
0x777eaadddd05526aa0aca9b2b00a63583949bab0,10,1,500.0,BIZDE_VAR
0x7eb160cb953355801a2f41aad4ed3db9b619a009,2,1,500.0,BIZDE_VAR
0x87b12f92e6928ff1ea44a3bd8fbc16c3a1e7c521,3,1,500.0,BIZDE_VAR
0x94291de6ef58e78c869320a5dbbfd6a5653f7633,1,1,500.0,BIZDE_VAR
0xff51ca12cf28b790985107cf77e509adbe56c1e4,6,1,500.0,BIZDE_VAR
