tx_hash,blockNumber,timestamp,wallet,usd_amount,lock_months,usd_slot,usd_decimals,lock_slot,in_our_list
0xb0f5ea00d4b9ff365f075cad5713d90004f330c6ea9d1721e2c27efbf7ae3cbb,24067634,1766400299,0xbc4ec24359f5cbcdb8bc0d8ecf831c1bd2cadd56,596.8,11,0,6,2,True
0x2fdbc31607a76e3d1d0237d81f48dcb76a30cf49fdccecf6aa5f56dd4cad5b84,24067651,1766400503,0x0c3bd34778a3113f8200e25116d56e8644b9327c,500.0,9,0,6,2,True
0x71897c9af2edc510c00206b269aaee3fbb2316f769e463eed93671666f6c880e,24067662,1766400635,0x5c0b928b6a6d7f9f58956a3a2aab14592dd81769,549.8,10,0,6,2,True
0x68c92ab06bddf97a191351e5188398f92702d222e8817186c97e0082a79acbb5,24067675,1766400791,0x21ef3961faaa3fd01e905d6e42fb7f91c6c73c0d,600.0,12,0,6,2,True
0x8ae885fee2b8c241f139870c48536595d1d44f8bfe6678ec7351ec4e045e6d0e,24067697,1766401055,0x06afab5c8dc84064ee78a64a3198916ba05985da,573.8,11,0,6,2,True
0x4e5df45d9533a245c994920fac0360c0c0fd8a6be1cb42227d14e7fd5bd11499,24067827,1766402615,0x7621bc7bc2ee50d542f05550d393438bbd7e0019,550.0,7,0,6,2,True
0x67a0f244394893f0cf548308273b25cd966bc2cff9d7498938fe2d29479aef76,24067863,1766403047,0x74f57ce30dcc01da834267a773a9cb96c53f490d,500.0,11,0,6,2,True
0x421160282430bbbb87781369d310fa7bb55fc87e6900662ac4eccbbf46d71acc,24067892,1766403395,0x246298f3c35a24c79b78edb392ec5515eabc5274,500.0,9,0,6,2,True
0x6ed153ec49dc19d9e1efbbec1e5fce770bde68382df07a42d62bd3a63701e90b,24067901,1766403503,0x19c558d0629bc3fe024651eb12bf1e2bed030001,599.0,12,0,6,2,True
0xa0dc6c6d292defbbee9aafe2e06e474c44e42c7f4065f56cb0a65fdbdf725cbf,24067919,1766403719,0x2d3c744dd17743eb33ded5159dc5c374c9b99b31,510.0,8,0,6,2,True
0x7d43a0c4dc99f921fbd3c6d013f81b8ec654cca61279aa73d81c8213a26ed196,24067935,1766403911,0x5b7bd5305f7ec4bed2b9321117c54ed4c4c179e9,650.0,12,0,6,2,True
0x595e4c5e3882bb56e93e06dc509df06218a69ae902f6c1b68e886f11fe1c9dd7,24067947,1766404055,0x1e43dc61859029ebe3d0b579cee824b91e9172a4,500.0,12,0,6,2,True
0xd662ced517f9d3afb0d12d7c302646e1691d736ea02e638b12d8b9a76a12f743,24067965,1766404271,0x0949db0779ead6eb8b3cd473b3cc3b61bad78d28,524.0,10,0,6,2,True
0xf30b30fa6f8e3b5f627273b411d08c0d0d78defe4fe7a1b4b571a673090b4389,24068267,1766407907,0x6498135b360336b60b8e0fb917c5cf94b9e67b20,575.0,9,0,6,2,True
0xd5a000daec3dfcfa5efa1f1f87934cb7ea14f12511f14b22dd5fcf8dd1cc947c,24068277,1766408027,0x1af1f65a5590cdaf47bd6e6b22228359c7eacf00,525.0,10,0,6,2,True
0x0c07e14ecb13245a63bfcba1de6fb1b491128e8a2d1acc800d357d8bbff4889e,24068308,1766408399,0x73fa4698f6bcef321d0d174bae4a3ea67f2af72c,700.0,12,0,6,2,True
0xb72bbde097b143c688a903ee710afa3a238a4d0674cd91fcd2fbf90ce6291e65,24068391,1766409407,0xc4cf7ab31cfee1ee74aceab7fd77ebb657029ecf,500.0,8,0,6,2,True
0x7657cb48ccbb5ca17db2b7230f2a79ab6b6c84ed144c91c49bf8fbfec402c2b9,24068403,1766409551,0x90153e85c7df063630373fe605b0b596ca2b2fa7,610.0,11,0,6,2,True
